                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.2711,                 2.7913,                 1.2509,                0.38916,                0.15016,                0.16709,                0.12045,                 1.1254,                 2.4007,                 1.2166,             2.3842e-05,             2.3842e-05,             2.3842e-05
                     15,                 1.2789,                 2.9865,                 1.2516,                0.32016,                0.13964,                 0.1459,                0.10526,                 1.1336,                 2.6393,                 1.2184,             2.4396e-05,             2.4396e-05,             2.4396e-05
                     18,                 1.2656,                 2.5694,                 1.2568,                0.39014,                0.18252,                0.19069,                0.13638,                 1.1268,                 2.3036,                 1.2174,             2.3565e-05,             2.3565e-05,             2.3565e-05
                     16,                 1.2797,                 2.8184,                 1.2501,                0.39842,                0.15198,                0.16927,                0.12166,                 1.1273,                  2.507,                 1.2145,             2.4119e-05,             2.4119e-05,             2.4119e-05
                     19,                 1.2572,                 2.5351,                 1.2334,                0.42363,                0.18733,                0.20421,                0.14751,                 1.1159,                 2.1738,                 1.2141,             2.3288e-05,             2.3288e-05,             2.3288e-05
                     17,                 1.2711,                 2.7913,                 1.2509,                0.39609,                0.16477,                0.17832,                0.12779,                 1.1254,                 2.4007,                 1.2166,             2.3842e-05,             2.3842e-05,             2.3842e-05
                     20,                 1.2407,                 2.4557,                 1.2261,                0.39365,                0.21958,                0.23827,                0.17192,                 1.1116,                 2.1054,                  1.206,              2.301e-05,              2.301e-05,              2.301e-05
                     18,                 1.2656,                 2.5694,                 1.2568,                0.38327,                 0.2006,                0.20474,                0.14732,                 1.1268,                 2.3036,                 1.2174,             2.3565e-05,             2.3565e-05,             2.3565e-05
                     21,                 1.2443,                 2.3647,                  1.248,                0.39345,                0.29413,                0.28183,                0.19992,                 1.1203,                 2.0458,                 1.2104,             2.2733e-05,             2.2733e-05,             2.2733e-05
                     19,                 1.2572,                 2.5351,                 1.2334,                  0.419,                0.20973,                0.22674,                 0.1635,                 1.1159,                 2.1738,                 1.2141,             2.3288e-05,             2.3288e-05,             2.3288e-05
                     22,                 1.2551,                 2.2883,                 1.2387,                0.44084,                0.26857,                0.28433,                0.20248,                 1.1195,                 1.9679,                 1.2033,             2.2456e-05,             2.2456e-05,             2.2456e-05
                     20,                 1.2407,                 2.4557,                 1.2261,                0.39669,                 0.2283,                 0.2447,                0.17765,                 1.1116,                 2.1054,                  1.206,              2.301e-05,              2.301e-05,              2.301e-05
                     23,                 1.2328,                 2.2179,                 1.2374,                0.45317,                0.28443,                 0.3002,                0.21328,                  1.109,                 1.8624,                  1.201,             2.2179e-05,             2.2179e-05,             2.2179e-05
                     21,                 1.2443,                 2.3647,                  1.248,                0.37962,                0.26988,                0.26538,                0.19143,                 1.1203,                 2.0458,                 1.2104,             2.2733e-05,             2.2733e-05,             2.2733e-05
                     24,                 1.2315,                 2.1655,                 1.2217,                 0.4406,                0.30617,                0.30843,                0.22356,                  1.098,                 1.8116,                 1.1989,             2.1902e-05,             2.1902e-05,             2.1902e-05
                     22,                 1.2551,                 2.2883,                 1.2387,                0.44024,                0.28509,                0.29598,                0.21155,                 1.1195,                 1.9679,                 1.2033,             2.2456e-05,             2.2456e-05,             2.2456e-05
                      1,                 1.8008,                 6.1399,                 1.7242,                0.00249,                0.00194,                0.00148,                0.00115,                 1.4647,                 5.6701,                 1.5098,             9.2444e-06,             9.2444e-06,             9.2444e-06
                      2,                 1.5877,                 5.9098,                  1.543,                0.00354,                0.00829,                0.00285,                0.00193,                 1.2852,                 5.4101,                 1.3719,             1.8394e-05,             1.8394e-05,             1.8394e-05
                      3,                  1.427,                 5.5958,                 1.4176,                0.00749,                0.02464,                0.00953,                0.00697,                 1.2123,                 5.0657,                 1.2952,             2.7358e-05,             2.7358e-05,             2.7358e-05
                      4,                 1.3617,                 5.3045,                 1.3471,                0.01462,                0.03818,                0.01899,                0.01417,                 1.1882,                  4.713,                  1.257,             2.7168e-05,             2.7168e-05,             2.7168e-05
                      5,                 1.3699,                 5.0306,                  1.322,                0.01681,                0.06069,                0.02593,                0.01949,                 1.1664,                 4.3403,                 1.2306,             2.7168e-05,             2.7168e-05,             2.7168e-05
                      6,                 1.3328,                 4.6863,                 1.2916,                0.31116,                0.04558,                0.03762,                0.02719,                  1.168,                 4.1006,                 1.2219,             2.6891e-05,             2.6891e-05,             2.6891e-05
                      7,                 1.3578,                 4.4793,                 1.2953,                0.25441,                0.06825,                0.04732,                0.03356,                 1.1654,                 3.8882,                 1.2263,             2.6614e-05,             2.6614e-05,             2.6614e-05
                      8,                 1.3234,                 4.2258,                 1.2886,                0.33996,                0.07739,                0.06116,                0.04353,                 1.1523,                 3.6894,                 1.2181,             2.6337e-05,             2.6337e-05,             2.6337e-05
                      9,                 1.3338,                 4.0505,                 1.2779,                0.41794,                0.09175,                 0.0837,                0.05995,                 1.1487,                 3.4764,                 1.2184,              2.606e-05,              2.606e-05,              2.606e-05
                     10,                 1.3114,                 3.8521,                 1.2776,                0.35888,                0.12403,                0.10372,                0.07266,                 1.1481,                 3.2556,                  1.221,             2.5782e-05,             2.5782e-05,             2.5782e-05
                     11,                 1.2784,                 3.6356,                 1.2442,                0.34136,                0.13788,                0.12324,                0.08623,                  1.138,                 3.0736,                 1.2123,             2.5505e-05,             2.5505e-05,             2.5505e-05
                     12,                 1.3177,                 3.4839,                 1.2765,                 0.3431,                0.15974,                 0.1562,                0.10919,                 1.1415,                 2.8727,                 1.2098,             2.5228e-05,             2.5228e-05,             2.5228e-05
                     13,                 1.2845,                 3.2451,                 1.2592,                0.30499,                0.19495,                0.17752,                0.12417,                 1.1473,                 2.7067,                 1.2194,             2.4951e-05,             2.4951e-05,             2.4951e-05
                     25,                 1.2168,                  2.002,                 1.2237,                 0.4681,                0.34726,                  0.347,                0.24826,                 1.0994,                 1.7783,                 1.1996,             2.1624e-05,             2.1624e-05,             2.1624e-05
                     14,                 1.3035,                 3.1866,                 1.2614,                0.32459,                0.20276,                0.19034,                0.13289,                 1.1404,                 2.6447,                  1.207,             2.4674e-05,             2.4674e-05,             2.4674e-05
                     15,                 1.3056,                 3.1029,                 1.2519,                0.31717,                0.23522,                0.21063,                0.14616,                 1.1398,                 2.4983,                 1.2101,             2.4396e-05,             2.4396e-05,             2.4396e-05
                     16,                 1.3012,                 2.9356,                 1.2347,                0.35795,                0.25592,                0.24096,                0.16716,                 1.1329,                 2.3689,                 1.2092,             2.4119e-05,             2.4119e-05,             2.4119e-05
                     17,                 1.2771,                 2.8088,                 1.2489,                0.37456,                0.27684,                0.26336,                0.18236,                 1.1296,                 2.2654,                  1.211,             2.3842e-05,             2.3842e-05,             2.3842e-05
                     18,                  1.261,                 2.6651,                 1.2257,                0.39711,                0.30457,                0.28888,                0.20045,                 1.1268,                 2.1856,                 1.2063,             2.3565e-05,             2.3565e-05,             2.3565e-05
                     19,                 1.2599,                  2.651,                 1.2404,                 0.4393,                0.32441,                 0.3177,                0.22191,                 1.1234,                 2.0479,                 1.2092,             2.3288e-05,             2.3288e-05,             2.3288e-05
                     20,                 1.2765,                  2.505,                 1.2325,                0.43777,                0.35685,                0.34116,                0.23929,                 1.1215,                 1.9483,                 1.2037,              2.301e-05,              2.301e-05,              2.301e-05
                     21,                 1.2381,                 2.3752,                 1.2294,                0.45047,                0.37784,                0.35871,                0.25095,                 1.1205,                 1.8868,                 1.2034,             2.2733e-05,             2.2733e-05,             2.2733e-05
                     22,                 1.2125,                 2.2473,                 1.2249,                0.45936,                0.38317,                0.37382,                0.26159,                  1.111,                 1.8032,                 1.1975,             2.2456e-05,             2.2456e-05,             2.2456e-05
                     23,                 1.2421,                 2.1959,                 1.2286,                0.47046,                 0.3903,                0.39766,                0.27794,                 1.1035,                 1.7264,                 1.1947,             2.2179e-05,             2.2179e-05,             2.2179e-05
                     24,                 1.2509,                 2.1843,                 1.2237,                0.47763,                0.40825,                0.40784,                0.28438,                 1.1064,                 1.6847,                 1.1978,             2.1902e-05,             2.1902e-05,             2.1902e-05
                     25,                 1.2227,                 2.0849,                 1.2182,                0.47924,                0.41471,                0.41511,                0.29056,                 1.1039,                 1.6428,                 1.1987,             2.1624e-05,             2.1624e-05,             2.1624e-05
                     26,                 1.2299,                  2.012,                   1.21,                0.47728,                0.44774,                 0.4283,                0.30043,                 1.0999,                 1.5812,                 1.1966,             2.1347e-05,             2.1347e-05,             2.1347e-05
                     27,                 1.1947,                 1.9062,                 1.2078,                0.48575,                0.45643,                0.44059,                0.30891,                  1.092,                 1.5278,                 1.1905,              2.107e-05,              2.107e-05,              2.107e-05
                     28,                 1.1976,                 1.8784,                  1.215,                0.50512,                0.46948,                0.45488,                0.31747,                 1.0926,                 1.4926,                 1.1936,             2.0793e-05,             2.0793e-05,             2.0793e-05
                     29,                 1.1972,                 1.7976,                 1.1986,                0.52552,                0.46684,                0.46356,                0.32298,                 1.0943,                 1.4663,                 1.1903,             2.0516e-05,             2.0516e-05,             2.0516e-05
                     30,                 1.1999,                 1.8717,                 1.2148,                0.56133,                0.45817,                0.47608,                0.33176,                 1.0914,                 1.4604,                 1.1906,             2.0238e-05,             2.0238e-05,             2.0238e-05
                     31,                  1.194,                 1.7758,                 1.2061,                 0.5654,                0.47143,                  0.482,                0.33481,                  1.091,                 1.4445,                 1.1921,             1.9961e-05,             1.9961e-05,             1.9961e-05
                     32,                 1.1744,                 1.7267,                 1.1843,                 0.5682,                0.46308,                0.48673,                0.33753,                 1.0904,                 1.4023,                 1.1876,             1.9684e-05,             1.9684e-05,             1.9684e-05
                     33,                 1.2197,                 1.7564,                 1.2159,                0.57871,                0.46862,                0.48988,                0.33919,                 1.0923,                 1.3764,                 1.1892,             1.9407e-05,             1.9407e-05,             1.9407e-05
                     34,                  1.192,                 1.7227,                 1.2037,                0.56235,                0.50896,                0.50115,                0.34937,                 1.0829,                 1.3458,                 1.1903,              1.913e-05,              1.913e-05,              1.913e-05
                     35,                 1.1996,                 1.6841,                 1.2073,                0.59751,                0.49707,                0.50822,                0.35226,                 1.0849,                  1.326,                 1.1882,             1.8852e-05,             1.8852e-05,             1.8852e-05
                     36,                 1.1843,                 1.6259,                 1.2266,                0.61681,                0.49613,                0.51554,                0.35717,                 1.0864,                 1.3067,                 1.1859,             1.8575e-05,             1.8575e-05,             1.8575e-05
                     37,                 1.1844,                 1.5925,                 1.2017,                0.61672,                0.49831,                0.52297,                 0.3622,                 1.0835,                 1.2895,                 1.1853,             1.8298e-05,             1.8298e-05,             1.8298e-05
                     38,                 1.1738,                 1.5629,                 1.2176,                0.61229,                0.50898,                0.52804,                0.36816,                 1.0755,                 1.2784,                  1.186,             1.8021e-05,             1.8021e-05,             1.8021e-05
                     39,                 1.1753,                 1.5663,                 1.1806,                0.61332,                0.50414,                 0.5356,                0.37365,                 1.0748,                 1.2721,                 1.1851,             1.7744e-05,             1.7744e-05,             1.7744e-05
                     40,                 1.1821,                 1.5185,                 1.1745,                0.65571,                0.49469,                0.53734,                0.37334,                 1.0769,                 1.2575,                 1.1829,             1.7466e-05,             1.7466e-05,             1.7466e-05
                     41,                 1.1701,                 1.5165,                 1.1893,                0.61735,                0.52746,                0.54001,                0.37499,                 1.0781,                 1.2318,                 1.1813,             1.7189e-05,             1.7189e-05,             1.7189e-05
                     42,                 1.1648,                   1.48,                 1.1842,                0.62908,                0.53262,                0.54921,                0.38326,                  1.072,                 1.2054,                 1.1795,             1.6912e-05,             1.6912e-05,             1.6912e-05
                     43,                 1.1513,                  1.492,                 1.1795,                0.65153,                 0.5234,                0.55937,                0.39092,                 1.0698,                  1.194,                 1.1812,             1.6635e-05,             1.6635e-05,             1.6635e-05
                     44,                  1.153,                 1.4731,                  1.196,                0.66435,                0.53533,                 0.5555,                0.38577,                 1.0703,                  1.187,                 1.1802,             1.6358e-05,             1.6358e-05,             1.6358e-05
                     26,                 1.2191,                 2.0284,                 1.2195,                0.49865,                 0.3819,                0.37854,                0.27026,                 1.0981,                 1.7153,                 1.1979,             2.1347e-05,             2.1347e-05,             2.1347e-05
                     45,                 1.1885,                 1.5152,                    1.2,                 0.6697,                0.53287,                0.55977,                0.38951,                  1.067,                 1.1749,                 1.1805,              1.608e-05,              1.608e-05,              1.608e-05
                     46,                 1.1739,                 1.4731,                 1.2032,                0.69115,                0.52847,                0.56522,                 0.3934,                 1.0673,                 1.1653,                 1.1785,             1.5803e-05,             1.5803e-05,             1.5803e-05
                     47,                 1.1659,                 1.4266,                 1.1881,                0.69526,                0.53308,                0.57248,                 0.3985,                 1.0661,                 1.1509,                 1.1765,             1.5526e-05,             1.5526e-05,             1.5526e-05
                     48,                 1.1453,                 1.3518,                 1.1903,                0.67902,                0.54392,                0.58243,                0.40582,                 1.0672,                 1.1351,                 1.1744,             1.5249e-05,             1.5249e-05,             1.5249e-05
                     49,                  1.105,                 1.2952,                  1.168,                0.67391,                0.55048,                0.58035,                0.40439,                  1.064,                 1.1331,                 1.1745,             1.4972e-05,             1.4972e-05,             1.4972e-05
                     50,                 1.1428,                  1.347,                 1.1896,                0.67406,                0.54229,                0.58068,                0.40454,                  1.065,                 1.1321,                 1.1766,             1.4694e-05,             1.4694e-05,             1.4694e-05
                     51,                 1.1554,                 1.3538,                 1.1852,                0.66647,                0.54827,                0.58651,                0.41059,                 1.0621,                 1.1281,                 1.1705,             1.4417e-05,             1.4417e-05,             1.4417e-05
                     52,                 1.1488,                 1.3407,                 1.1719,                0.67862,                0.55072,                0.59389,                0.41622,                 1.0656,                 1.1108,                 1.1732,              1.414e-05,              1.414e-05,              1.414e-05
                     53,                 1.1366,                 1.3433,                 1.1777,                0.67707,                0.55495,                0.59813,                0.41679,                 1.0666,                 1.1027,                 1.1732,             1.3863e-05,             1.3863e-05,             1.3863e-05
                     54,                 1.1086,                  1.258,                  1.156,                0.67003,                0.56806,                0.60115,                0.41958,                 1.0615,                 1.0978,                 1.1728,             1.3586e-05,             1.3586e-05,             1.3586e-05
                     55,                 1.1356,                 1.2944,                 1.1852,                0.67599,                0.57158,                0.60988,                0.42576,                 1.0592,                 1.0958,                 1.1745,             1.3308e-05,             1.3308e-05,             1.3308e-05
                     56,                 1.1207,                  1.295,                 1.1685,                0.69716,                 0.5621,                0.61449,                 0.4296,                 1.0586,                 1.0949,                 1.1708,             1.3031e-05,             1.3031e-05,             1.3031e-05
                     57,                 1.1268,                 1.2891,                 1.1632,                0.70322,                 0.5551,                0.61636,                0.42995,                 1.0598,                  1.078,                 1.1721,             1.2754e-05,             1.2754e-05,             1.2754e-05
                     58,                 1.1381,                 1.2873,                 1.1949,                0.70991,                 0.5533,                0.62044,                0.43229,                 1.0563,                 1.0697,                 1.1707,             1.2477e-05,             1.2477e-05,             1.2477e-05
                     59,                 1.1252,                 1.2556,                   1.18,                0.67145,                0.58778,                 0.6226,                0.43706,                 1.0562,                 1.0675,                 1.1702,               1.22e-05,               1.22e-05,               1.22e-05
                     60,                 1.1096,                 1.2129,                 1.1712,                0.66962,                0.58983,                0.62742,                0.43946,                  1.057,                  1.058,                 1.1731,             1.1922e-05,             1.1922e-05,             1.1922e-05
                     61,                   1.15,                 1.3033,                 1.1823,                0.65585,                0.60214,                 0.6281,                0.43915,                 1.0576,                 1.0595,                 1.1741,             1.1645e-05,             1.1645e-05,             1.1645e-05
                     62,                 1.1466,                 1.2627,                 1.1532,                0.70749,                 0.5786,                0.63285,                0.44352,                 1.0556,                 1.0527,                  1.171,             1.1368e-05,             1.1368e-05,             1.1368e-05
                     63,                 1.1178,                  1.237,                 1.1778,                0.67278,                  0.604,                0.63764,                0.44602,                 1.0551,                 1.0386,                 1.1699,             1.1091e-05,             1.1091e-05,             1.1091e-05
                     64,                 1.1293,                 1.2428,                 1.1654,                0.71423,                0.57616,                 0.6407,                0.44798,                 1.0593,                 1.0427,                 1.1721,             1.0814e-05,             1.0814e-05,             1.0814e-05
                     65,                 1.1231,                 1.1989,                 1.1793,                0.65382,                0.62143,                0.64633,                0.45224,                  1.055,                 1.0366,                 1.1737,             1.0536e-05,             1.0536e-05,             1.0536e-05
                     66,                 1.1077,                 1.2381,                  1.167,                0.67123,                0.61959,                0.65087,                0.45567,                  1.052,                 1.0342,                   1.17,             1.0259e-05,             1.0259e-05,             1.0259e-05
                     67,                 1.1137,                 1.2094,                 1.1608,                0.68331,                0.61124,                0.64946,                0.45422,                 1.0508,                 1.0285,                   1.17,              9.982e-06,              9.982e-06,              9.982e-06
                     68,                 1.1255,                  1.215,                   1.19,                0.70234,                0.60102,                0.64907,                0.45363,                 1.0509,                 1.0287,                 1.1724,             9.7048e-06,             9.7048e-06,             9.7048e-06
                     69,                 1.1292,                 1.2168,                 1.1792,                0.69715,                0.60993,                0.64712,                0.45149,                 1.0511,                 1.0251,                 1.1738,             9.4276e-06,             9.4276e-06,             9.4276e-06
                     70,                 1.1095,                 1.2042,                 1.1659,                0.70072,                0.61112,                0.64922,                0.45343,                 1.0513,                 1.0181,                 1.1712,             9.1504e-06,             9.1504e-06,             9.1504e-06
                     71,                 1.1455,                 1.2186,                 1.1721,                0.69395,                0.61317,                0.65566,                0.45805,                 1.0531,                 1.0219,                   1.17,             8.8732e-06,             8.8732e-06,             8.8732e-06
                     72,                 1.1152,                 1.2213,                 1.1545,                0.70127,                0.61472,                0.65716,                0.45941,                 1.0535,                 1.0207,                 1.1734,              8.596e-06,              8.596e-06,              8.596e-06
                     73,                 1.1051,                 1.1882,                 1.1554,                 0.7117,                 0.5975,                0.65913,                0.46038,                 1.0513,                 1.0198,                 1.1702,             8.3188e-06,             8.3188e-06,             8.3188e-06
                     74,                 1.1097,                 1.1778,                 1.1589,                 0.6878,                0.62203,                0.65868,                0.46104,                  1.048,                 1.0113,                 1.1684,             8.0416e-06,             8.0416e-06,             8.0416e-06
                     75,                 1.1058,                 1.1491,                 1.1517,                0.67915,                 0.6329,                0.66291,                0.46365,                 1.0477,                 1.0057,                  1.169,             7.7644e-06,             7.7644e-06,             7.7644e-06
                     76,                 1.1346,                 1.1424,                 1.1666,                0.68786,                0.63218,                0.66031,                0.46364,                 1.0462,                 1.0027,                 1.1698,             7.4872e-06,             7.4872e-06,             7.4872e-06
                     77,                 1.0995,                 1.1568,                 1.1521,                0.69542,                 0.6269,                0.65886,                0.46283,                 1.0504,                 1.0101,                 1.1725,               7.21e-06,               7.21e-06,               7.21e-06
                     27,                 1.2266,                 1.9352,                 1.2494,                0.51221,                0.38263,                0.38658,                0.27787,                 1.0926,                 1.6672,                 1.1957,              2.107e-05,              2.107e-05,              2.107e-05
                     78,                 1.1163,                 1.1519,                  1.162,                0.68473,                0.63122,                 0.6616,                0.46346,                 1.0482,                 1.0075,                 1.1694,             6.9328e-06,             6.9328e-06,             6.9328e-06
                     79,                 1.1225,                  1.164,                 1.1731,                0.69176,                0.62861,                0.66402,                 0.4643,                 1.0493,                 1.0061,                 1.1707,             6.6556e-06,             6.6556e-06,             6.6556e-06
                     80,                 1.0932,                 1.1348,                 1.1699,                0.68454,                0.63167,                0.66189,                0.46213,                 1.0499,                 1.0014,                   1.17,             6.3784e-06,             6.3784e-06,             6.3784e-06
                     81,                 1.1005,                 1.1412,                 1.1559,                0.69118,                0.62552,                0.66632,                0.46353,                 1.0491,                 1.0043,                 1.1713,             6.1012e-06,             6.1012e-06,             6.1012e-06
