                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.1002,                 1.1463,                 1.1725,                0.67695,                0.61213,                0.65101,                0.45235,                 1.0576,                 1.0336,                 1.1737,              3.052e-06,              3.052e-06,              3.052e-06
                     93,                 1.1054,                 1.1223,                 1.1838,                0.66086,                0.63183,                0.65657,                0.45501,                 1.0529,                  1.012,                 1.1713,             2.7748e-06,             2.7748e-06,             2.7748e-06
                     94,                 1.1044,                 1.1312,                 1.1602,                 0.6691,                0.61933,                0.65645,                0.45411,                 1.0564,                 1.0261,                 1.1721,             2.4976e-06,             2.4976e-06,             2.4976e-06
                     95,                 1.0919,                 1.0902,                 1.1847,                0.66875,                0.63545,                0.66191,                0.45781,                 1.0539,                 1.0072,                 1.1708,             2.2204e-06,             2.2204e-06,             2.2204e-06
                     96,                  1.094,                 1.1048,                 1.1807,                0.67267,                0.62441,                0.66013,                0.45609,                 1.0542,                 1.0145,                 1.1701,             1.9432e-06,             1.9432e-06,             1.9432e-06
                     97,                 1.1054,                 1.1295,                 1.1759,                0.67333,                 0.6325,                0.66217,                0.45914,                 1.0518,                 1.0051,                 1.1685,              1.666e-06,              1.666e-06,              1.666e-06
                     98,                 1.1031,                 1.1194,                 1.1684,                0.66368,                0.63091,                0.66004,                0.45713,                 1.0548,                 1.0166,                 1.1716,             1.3888e-06,             1.3888e-06,             1.3888e-06
                     99,                 1.0964,                 1.0689,                 1.1776,                0.68057,                0.63268,                0.66271,                0.46001,                 1.0532,                 1.0005,                 1.1704,             1.1116e-06,             1.1116e-06,             1.1116e-06
                    100,                 1.0892,                 1.0807,                 1.1688,                0.67266,                0.62911,                0.66009,                0.45731,                 1.0552,                 1.0101,                 1.1708,              8.344e-07,              8.344e-07,              8.344e-07
                     28,                 1.2254,                 1.9465,                 1.2288,                0.50991,                0.40954,                0.41235,                0.29182,                 1.0904,                 1.6113,                 1.1946,             2.0793e-05,             2.0793e-05,             2.0793e-05
                     29,                 1.2146,                 1.9096,                 1.2139,                0.51788,                0.42339,                0.42585,                0.29998,                 1.0892,                 1.5906,                 1.1915,             2.0516e-05,             2.0516e-05,             2.0516e-05
                     30,                 1.2123,                 1.8432,                 1.2113,                0.50981,                 0.4475,                0.44514,                0.31177,                 1.0891,                 1.5593,                 1.1939,             2.0238e-05,             2.0238e-05,             2.0238e-05
                     31,                 1.1755,                 1.7488,                 1.2059,                0.57365,                0.45793,                0.47846,                0.33594,                 1.0911,                 1.5346,                 1.1947,             1.9961e-05,             1.9961e-05,             1.9961e-05
                     32,                 1.1911,                 1.7323,                 1.2022,                 0.5655,                0.44799,                0.46978,                0.32858,                 1.0893,                 1.5091,                 1.1944,             1.9684e-05,             1.9684e-05,             1.9684e-05
